"Apply to sub-categories", "Apply to sub-categories"
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments (Ogone) before. By cancelling this order you won\'t be able to update the status in Magento anymore.", "Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments (Ogone) before. By cancelling this order you won\'t be able to update the status in Magento anymore."
"Are you sure you want to perform this action? Canceling the subscription here will not actually cancel the subscription on Ingenico ePayments (Ogone) side. To stop charging the customer you will have to deactivate the subscription there.", "Are you sure you want to perform this action? This will only set the status in Magento. To stop charging the customer you will have to deactivate the subscription on the Ingenico ePayments (Ogone) side."
"Are you sure you want to perform this action? Suspending the subscription here will not actually cancel the subscription on Ingenico ePayments (Ogone) side. To stop charging the customer you will have to deactivate the subscription there.", "Are you sure you want to perform this action? This will only set the status in Magento. To suspend charging the customer, you will have to suspend the subscription on the Ingenico ePayments (Ogone) side."
"Attention: This may be an attempt to defraud!","Attention: This may be an attempt to defraud!"
"Auctions and bulk purchases","Auctions and bulk purchases"
"Authorization status changed. Current Ingenico ePayments (Ogone) status is: %s.","Authorization status changed. Current Ingenico ePayments (Ogone) status is: %s."
"Authorization uncertain. Ingenico ePayments (Ogone) status: %s.","Authorization uncertain. Ingenico ePayments (Ogone) status: %s."
"Authorization waiting from Ingenico ePayments (Ogone)","Authorization waiting from Ingenico ePayments (Ogone)"
"Authorization waiting. Ingenico ePayments (Ogone) status: %s.","Authorization waiting. Ingenico ePayments (Ogone) status: %s."
"Authorization","Authorization"
"Automatic activation not possible. Please contact our support team.", "Automatic activation not possible. Please contact our support team."
"Automatic Payment Cancellation", "Automatic Payment Cancellation"
"Automatic Payment Cancellation","Automatic Payment Cancellation"
"Automatic Payment Reminder", "Automatic Payment Reminder"
"Automatic Payment Reminder","Automatic Payment Reminder"
"Baby articles and accessories","Baby articles and accessories"
"Background Color of Ingenico ePayments (Ogone) Template","Background Color of Ingenico ePayments (Ogone) Template"
"Bank account origin","Bank account origin"
"Bank code must contain numbers only.","Bank code must contain numbers only."
"Bank code","Bank code"
"BCMC","Bancontact/Mister Cash"
"BIC: %s", "BIC: %s"
"Billing Address","Billing Address"
"Billing day for monthly subscriptions", "Billing day for monthly subscriptions"
"Billing day for weekly subscriptions", "Billing day for weekly subscriptions"
"Brand", "Brand"
"Button Background Color of the Ingenico ePayments (Ogone) Template","Button Background Color of the Ingenico ePayments (Ogone) Template"
"Button Text Color of the Ingenico ePayments (Ogone) Template","Button Text Color of the Ingenico ePayments (Ogone) Template"
"By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments (Ogone) side.", "By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments (Ogone) side."
"Can not save empty title or PM fields", "Can not save empty title or PM fields"
"Cancel unpaid (stale) orders automatically (status 0, 1, 2).", "Cancel unpaid (stale) orders automatically (status 0, 1, 2)."
"Cancel","Cancel"
"Cancellation Days", "Cancellation Days"
"Cancellation Days","Cancellation Days"
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Capture is waiting or uncertain. Ingenico ePayments (Ogone) status: %s.","Capture is waiting or uncertain. Ingenico ePayments (Ogone) status: %s."
"Capture process complete","Capture process complete"
"Capture was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s.","Capture was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s."
"Car & Motorbike", "Car & Motorbike"
"Card Holder", "Card Holder"
"Card Number/Account Number", "Card Number/Account Number"
"Card Verification Number","CVC / Issue number"
"Categorie's %s configuration", "Categorie's %s configuration"
"Categories configuration", "Categories configuration"
"CIVILITY", "Invoiced customer's salutation"
"Clothing & accessories", "Clothing & accessories"
"Collect at airport, train station or travel agency","Collect at airport, train station or travel agency"
"Collection point (Kiala...)","Collection point (Kiala...)"
"Computer & software","Computer & software"
"Could not perform actions for Ingenico ePayments (Ogone) status: %s.","Could not perform actions for Ingenico ePayments (Ogone) status: %s."
"Could not remove alias %s.", "Could not remove alias %s."
"Could not send suspend mail, please try again or contact our support directly.","Could not send suspend mail, please try again or contact our support directly."
"Countries","Countries"
"Country not supported for IBAN", "Country not supported for IBAN"
"Country", "Country"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit/Debit card Split", "Credit/Debit card Split"
"Creditmemo '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s.","Creditmemo '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s."
"Creditmemo will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) Status: %s.","Creditmemo will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) Status: %s."
"Culture & leisure","Culture & leisure"
"custom", "Custom"
"Customer received your payment instructions, waiting for actual payment.","Customer received your payment instructions, waiting for actual payment."
"Customer redirected for 3DS authorization.", "Customer redirected for 3DS authorization."
"Debug","Debug"
"Default option title", "Default option title"
"Default Shipping Method Details", "Default Shipping Method Details"
"Default Shipping method speed", "Default Shipping Speed (in hours)"
"Default Shipping Method Type", "Default Shipping Method Type"
"Default Shipping speed (in hours)", "Default Shipping speed (in hours)"
"Delete Image","Delete Image"
"Delete","delete"
"Depending on the selection the extension will communicate with the Ingenico ePayments (Ogone) test or production service. Choose custom, if you have to use special urls for the gateway.", "Depending on the selection the extension will communicate with the Ingenico ePayments (Ogone) test or production service. Choose custom, if you have to use special urls for the gateway."
"Determines the day of the month when a monthly subscription gets triggered.", "Determines the day of the month when a monthly subscription gets triggered."
"Determines the day of the week when a weekly subscription gets triggered.","Determines the day of the week when a weekly subscription gets triggered."
"devprefix", "Prefix for parameter ORDERID"
